Style,Yarn,Percentage,This Week,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Later,Total
CEE4078/2A,18594,38.5,1164.9477022199,763.341133579989,503.294164200109,,,,,,,,2431.583
CEE4078/2A,18646,10.7,323.764686071505,212.149354007945,139.87655992055,,,,,,,,675.7906
CEE4078/2A,18763,23.1,698.968621331941,458.004680147993,301.976498520066,,,,,,,,1458.9498
CEE4078/2A,18929,0.7,21.1808673130891,13.8789297014543,9.15080298545653,,,,,,,,44.2106
CEE4078/2A,19003,5.3,160.36942394196,105.08332488244,69.2846511755994,,,,,,,,334.7374
CEE4293A/1V,12526,10.5,,,,,,,,,,,0.0
CEE4293A/1V,18133,24.2,,,,,,,,,,,0.0
CEE4293A/1V,18454,11.1,,,,,,,,,,,0.0
CEE4293A/1V,18594,31.6,,,,,,,,,,,0.0
CEE4293A/1V,18763,22.0,,,,,,,,,,,0.0
CEE4293A/1V,18929,0.6,,,,,,,,,,,0.0
CEE4317A/1L,18164,11.2,178.485126914449,218.148488450993,218.148488450993,169.217896183566,,,,,,,784.0
CEE4317A/1L,18376,13.2,210.357471006314,257.103575674384,257.103575674384,199.435377644917,,,,,,,924.0
CEE4317A/1L,18598,11.2,178.485126914449,218.148488450993,218.148488450993,169.217896183566,,,,,,,784.0
CEE4317A/1L,18646,11.2,178.485126914449,218.148488450993,218.148488450993,169.217896183566,,,,,,,784.0
CEE4317A/1L,18763,52.4,835.055415206885,1020.62328525286,1020.62328525286,791.698014287398,,,,,,,3668.0
CEE4317A/1L,18929,0.8,12.7489376367463,15.5820348893566,15.5820348893566,12.0869925845404,,,,,,,56.0
CEE4585A/1B,18594,30.2,666.686579560489,814.839152796153,405.974267643359,,,,,,,,1887.5
CEE4585A/1B,18646,17.6,388.532576167702,474.873148649414,236.594275182884,,,,,,,,1100.0
CEE4585A/1B,18763,40.3,889.651296565817,1087.35158469155,541.747118742628,,,,,,,,2518.75
CEE4585A/1B,18900,10.5,231.795002827322,283.305003455616,141.149993717062,,,,,,,,656.25
CEE4585A/1B,18929,1.4,30.9060003769763,37.7740004607488,18.8199991622749,,,,,,,,87.5
CEE4638A/1,12047,12.2,149.371934206704,182.565697363749,182.565697363749,182.565697363749,95.9309737020475,,,,,,793.0
CEE4638A/1,12526,33.5,410.160639010212,501.307447679148,501.307447679148,501.307447679148,263.417017952343,,,,,,2177.5
CEE4638A/1,18553,31.0,379.551636099002,463.896444121003,463.896444121003,463.896444121003,243.759031537989,,,,,,2015.0
CEE4638A/1,18646,8.8,107.743690247459,131.686732524672,131.686732524672,131.686732524672,69.196112178526,,,,,,572.0
CEE4638A/1,18679,6.8,83.2564879184908,101.757929678155,101.757929678155,101.757929678155,53.4697230470428,,,,,,442.0
CEE4638A/1,18929,1.3,15.9166815138291,19.4537218502356,19.4537218502356,19.4537218502356,10.2221529354641,,,,,,84.5
CEE4638A/1,18966,6.4,78.3590474526973,95.7721691088522,95.7721691088522,95.7721691088522,50.3244452207461,,,,,,416.0
CEE4690A/1,19062,19.2,4.5312,,,,,,,,,,4.5312
CEE4739A/1,18594,16.51,8.255,,,,,,,,,,8.255
CEE4739A/1,18617,11.32,5.66,,,,,,,,,,5.66
CEE4739A/1,18622,11.32,5.66,,,,,,,,,,5.66
CEE4739A/1,18763,44.34,22.17,,,,,,,,,,22.17
CEE4739A/1,18865,7.04,3.52,,,,,,,,,,3.52
CEE4739A/1,19030,9.47,4.735,,,,,,,,,,4.735
CEE4750A/1,11999,11.26,5.63,,,,,,,,,,5.63
CEE4750A/1,18164,11.26,5.63,,,,,,,,,,5.63
CEE4750A/1,18376,9.42,4.71,,,,,,,,,,4.71
CEE4750A/1,18594,16.43,8.215,,,,,,,,,,8.215
CEE4750A/1,18669,7.51,3.755,,,,,,,,,,3.755
